group_id,group_description,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,,all_mean_acc,std,kappa,,,,
1,S1-S8 (2s paradigm),subject,1,0.64375,160,103,,,,,0.413,0.181,0.398,,,,
1,S1-S8 (2s paradigm),subject,2,0.575,160,92,,,,,,,,,,,
1,S1-S8 (2s paradigm),subject,3,0.84375,160,135,,,,,,,,,,,
1,S1-S8 (2s paradigm),subject,4,0.35625,160,57,,,,,,,,,,,
1,S1-S8 (2s paradigm),subject,5,0.2375,160,38,,,,,,,,,,,
1,S1-S8 (2s paradigm),subject,6,0.41875,160,67,,,,,,,,,,,
1,S1-S8 (2s paradigm),subject,7,0.2,160,32,,,,,,,,,,,
1,S1-S8 (2s paradigm),subject,8,0.4625,160,74,,,,,,,,,,,
1,S1-S8 (2s paradigm),summary,ALL,,8,,0.467,0.201,,,,,,,,,
2,S9-S16 (2s paradigm),subject,9,0.45,160,72,,,,,,,,,,,
2,S9-S16 (2s paradigm),subject,10,0.525,160,84,,,,,,,A05,A06,A07,A08,A09
2,S9-S16 (2s paradigm),subject,11,0.11875,160,19,,,,,,mean_acc,0.467,0.439,0.443,0.283,0.431
2,S9-S16 (2s paradigm),subject,12,0.65,160,104,,,,,,std,0.201,0.173,0.251,0.117,0.161
2,S9-S16 (2s paradigm),subject,13,0.4875,160,78,,,,,,,,,,,
2,S9-S16 (2s paradigm),subject,14,0.38125,160,61,,,,,,,,,,,
2,S9-S16 (2s paradigm),subject,15,0.25,160,40,,,,,,,,,,,
2,S9-S16 (2s paradigm),subject,16,0.65,160,104,,,,,,,,,,,
2,S9-S16 (2s paradigm),summary,ALL,,8,,0.439,0.173,,,,,,,,,
3,S17-S24 (3s paradigm),subject,17,0.15,160,24,,,,,,,,,,,
3,S17-S24 (3s paradigm),subject,18,0.875,160,140,,,,,,,,,,,
3,S17-S24 (3s paradigm),subject,19,0.65625,160,105,,,,,,,,,,,
3,S17-S24 (3s paradigm),subject,20,0.13125,160,21,,,,,,,,,,,
3,S17-S24 (3s paradigm),subject,21,0.25,160,40,,,,,,,,,,,
3,S17-S24 (3s paradigm),subject,22,0.41875,160,67,,,,,,,,,,,
3,S17-S24 (3s paradigm),subject,23,0.6625,160,106,,,,,,,,,,,
3,S17-S24 (3s paradigm),subject,24,0.4,160,64,,,,,,,,,,,
3,S17-S24 (3s paradigm),summary,ALL,,8,,0.443,0.251,,,,,,,,,
4,S25-S32 (3s paradigm),subject,25,0.25625,160,41,,,,,,,,,,,
4,S25-S32 (3s paradigm),subject,26,0.3125,160,50,,,,,,,,,,,
4,S25-S32 (3s paradigm),subject,27,0.24375,160,39,,,,,,,,,,,
4,S25-S32 (3s paradigm),subject,28,0.5125,160,82,,,,,,,,,,,
4,S25-S32 (3s paradigm),subject,29,0.33125,160,53,,,,,,,,,,,
4,S25-S32 (3s paradigm),subject,30,0.34375,160,55,,,,,,,,,,,
4,S25-S32 (3s paradigm),subject,31,0.1625,160,26,,,,,,,,,,,
4,S25-S32 (3s paradigm),subject,32,0.1,160,16,,,,,,,,,,,
4,S25-S32 (3s paradigm),summary,ALL,,8,,0.283,0.117,,,,,,,,,
5,S33-S40 (3s paradigm),subject,33,0.30625,160,49,,,,,,,,,,,
5,S33-S40 (3s paradigm),subject,34,0.5375,160,86,,,,,,,,,,,
5,S33-S40 (3s paradigm),subject,35,0.30625,160,49,,,,,,,,,,,
5,S33-S40 (3s paradigm),subject,36,0.53125,160,85,,,,,,,,,,,
5,S33-S40 (3s paradigm),subject,37,0.7625,160,122,,,,,,,,,,,
5,S33-S40 (3s paradigm),subject,38,0.2375,160,38,,,,,,,,,,,
5,S33-S40 (3s paradigm),subject,39,0.43125,160,69,,,,,,,,,,,
5,S33-S40 (3s paradigm),subject,40,0.3375,160,54,,,,,,,,,,,
5,S33-S40 (3s paradigm),summary,ALL,,8,,0.431,0.161,,,,,,,,,
